trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,060370,31800,1,2.060041615728583e-06,30800,29550,0
2026-02-02,060980,672900,1,0.00016449170498179357,45400,44400,0
2026-02-02,062040,-2294321800,0,-0.0551485694063883,145400,136200,0
2026-02-02,064260,8294930,1,0.001216483231065016,9490,9070,0
2026-02-02,064290,2490200,1,0.001171080168963379,17140,16530,0
2026-02-02,064350,-3031716250,0,-0.01294995267451023,227500,214500,0
2026-02-02,064400,-532925800,0,-0.008185339170527548,69000,67200,0
2026-02-02,064760,-1553282750,0,-0.06712140778164247,221000,207000,0
2026-02-02,064850,-258907170,0,-0.1824002445561515,12670,12440,0
2026-02-02,064960,-219296400,0,-0.023950083824703632,34900,34500,0
2026-02-02,065350,-259263600,0,-0.012834385796274054,78800,73500,0
2026-02-02,066570,-1585337750,0,-0.010075344032055676,98300,96600,0
2026-02-02,066970,-78065700,0,-0.0015734106319921562,122800,123300,0
2026-02-02,067310,-1316488675,0,-0.05455343973200785,36250,36350,0
2026-02-02,067390,-74670000,0,-0.031498799113080136,610,588,0
2026-02-02,068270,-244020250,0,-0.0005204646491781626,207500,203000,0
2026-02-02,068760,71400,1,2.3723418527544907e-06,70500,68900,0
2026-02-02,069080,-202814830,0,-0.03910307225806225,16590,14990,0
2026-02-02,069260,138390620,1,0.017307802000339743,20100,19560,0
2026-02-02,069620,35378700,1,0.0018871580594850398,168200,161800,0
2026-02-02,069960,-941457800,0,-0.044880671922764334,95600,92700,0
2026-02-02,071050,582484300,1,0.005231556643867079,211500,199800,0
2026-02-02,071320,-29677250,0,-0.002588969943719302,101700,99000,0
2026-02-02,071970,-1047396800,0,-0.03675843156031161,87400,84000,0
2026-02-02,072710,-31948650,0,-0.007982347607790588,87500,86300,0
2026-02-02,072870,-482672385,0,-0.3714623142608429,11080,10900,0
2026-02-02,073240,-448314315,0,-0.027047753711720485,6000,5770,0
2026-02-02,074600,172984975,1,0.02473826289132753,27500,26600,0
2026-02-02,077360,8622030,1,0.002115472666659503,8900,8970,0
2026-02-02,077970,-49112150,0,-0.0037872312793770396,33900,32300,0
2026-02-02,078160,-544320550,0,-0.055425540907666104,24300,25050,0
2026-02-02,078340,35769000,1,0.008404089553609875,36050,35200,0
2026-02-02,078350,66147550,1,0.01668901066938324,25100,26000,0
2026-02-02,078600,178779050,1,0.01525573558800368,73000,75700,0
2026-02-02,078890,2279590,1,0.001976760011279437,6310,6390,0
2026-02-02,078930,236108050,1,0.0039458205382568445,68700,64400,0
2026-02-02,078935,30860200,1,0.03262323187404833,55000,53000,0
2026-02-02,079550,-3270151250,0,-0.03274080146175411,477500,454000,0
2026-02-02,079900,-85553100,0,-0.01163252978049506,49850,50400,0
2026-02-02,080220,42300,1,3.1329642153799055e-06,42550,39200,0
2026-02-02,081180,-280434045,0,-0.17741654145016747,16750,17910,0
2026-02-02,081660,-43067500,0,-0.0017558196696459752,47500,46200,0
2026-02-02,082740,-84672000,0,-0.0019108818264697916,54100,53100,0
2026-02-02,083450,23087400,1,0.004597091897434876,28250,27250,0
2026-02-02,083650,-117213250,0,-0.005442341037879194,69300,69600,0
2026-02-02,084370,-2233482350,0,-0.09805201678408745,103500,99400,0
2026-02-02,085660,320751100,1,0.019404161439928444,21100,20800,0
